Daily Mean data	    supplied by UK-AIR on 06/09/2017
All Data GMT hour ending
Status: V=Verified P=Provisionaly Verified N=Not Verified S=Suspect
,"Bottesford",,"Ladybower",,,,,,,,,,,,"Leicester Centre",,,,,,,,,,,,,,,,,,,,,,,,,,"Market Harborough",,,,,,,,,,"Northampton",,,,,,,,,,,,,,,,"Nottingham Centre",,,,,,,,,,,,,,,,,,,,,,,,,
Date,"Ozone",Status,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Sulphur dioxide",Status,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Carbon monoxide",Status,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Ozone",Status,"Nitric oxide",Status,"Nitrogen dioxide",Status,"Nitrogen oxides as nitrogen dioxide",Status,"Sulphur dioxide",Status,"Sulphur dioxide",Status,"Carbon monoxide",Status,"PM10 particulate matter (Hourly measured)",Status,"Non-volatile PM10 (Hourly measured)",Status,"Volatile PM10 (Hourly measured)",Status,"PM2.5 particulate matter (Hourly measured)",Status,"Non-volatile PM2.5 (Hourly measured)",Status,"Volatile PM2.5 (Hourly measured)",Status
2007-03-11,66,V ugm-3,85,V ,1,V ,5,V ,6,V ,No data,,3,V ,46,V ugm-3,13,V ugm-3,33,V ugm-3,52,V ugm-3,No data,,0,V ugm-3,0.16,V mgm-3,21,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,76,V ugm-3,0,V ugm-3,5,V ugm-3,5,V ugm-3,0.17,V mgm-3,65,V ugm-3,2,V ugm-3,15,V ugm-3,18,V ugm-3,No data,,2,V ugm-3,0.18,V mgm-3,21,V ugm-3 (INDIC.GRAV),50,V ugm-3,7,V ugm-3,28,V ugm-3,38,V ugm-3,No data,,4,V ugm-3,0.12,V mgm-3,19,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
2007-03-12,62,V ugm-3,77,V ,1,V ,8,V ,10,V ,No data,,4,V ,45,V ugm-3,9,V ugm-3,38,V ugm-3,52,V ugm-3,No data,,2,V ugm-3,0.22,V mgm-3,24,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,66,V ugm-3,1,V ugm-3,14,V ugm-3,14,V ugm-3,0.19,V mgm-3,50,V ugm-3,11,V ugm-3,30,V ugm-3,46,V ugm-3,No data,,4,V ugm-3,0.31,V mgm-3,26,V ugm-3 (INDIC.GRAV),42,V ugm-3,7,V ugm-3,41,V ugm-3,52,V ugm-3,No data,,3,V ugm-3,0.14,V mgm-3,25,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
2007-03-13,50,V ugm-3,74,V ,1,V ,10,V ,12,V ,No data,,4,V ,35,V ugm-3,27,V ugm-3,44,V ugm-3,85,V ugm-3,No data,,3,V ugm-3,0.31,V mgm-3,27,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,57,V ugm-3,2,V ugm-3,16,V ugm-3,18,V ugm-3,0.15,V mgm-3,33,V ugm-3,17,V ugm-3,48,V ugm-3,74,V ugm-3,No data,,3,V ugm-3,0.32,V mgm-3,23,V ugm-3 (INDIC.GRAV),34,V ugm-3,16,V ugm-3,44,V ugm-3,68,V ugm-3,No data,,2,V ugm-3,0.18,V mgm-3,26,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
2007-03-14,38,V ugm-3,69,V ,1,V ,9,V ,11,V ,No data,,4,V ,20,V ugm-3,57,V ugm-3,62,V ugm-3,149,V ugm-3,No data,,2,V ugm-3,0.41,V mgm-3,31,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,53,V ugm-3,1,V ugm-3,19,V ugm-3,21,V ugm-3,0.18,V mgm-3,30,V ugm-3,24,V ugm-3,53,V ugm-3,89,V ugm-3,No data,,3,V ugm-3,0.27,V mgm-3,27,V ugm-3 (INDIC.GRAV),20,V ugm-3,36,V ugm-3,62,V ugm-3,117,V ugm-3,No data,,5,V ugm-3,0.32,V mgm-3,35,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
2007-03-15,44,V ugm-3,No data,V ,No data,V ,No data,V ,No data,V ,No data,,No data,V ,25,V ugm-3,29,V ugm-3,49,V ugm-3,94,V ugm-3,No data,,1,V ugm-3,0.28,V mgm-3,24,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,55,V ugm-3,1,V ugm-3,16,V ugm-3,17,V ugm-3,0.23,V mgm-3,41,V ugm-3,14,V ugm-3,36,V ugm-3,57,V ugm-3,No data,,2,V ugm-3,0.29,V mgm-3,22,V ugm-3 (INDIC.GRAV),30,V ugm-3,26,V ugm-3,52,V ugm-3,91,V ugm-3,No data,,4,V ugm-3,0.29,V mgm-3,25,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
2007-03-16,50,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,V ugm-3,No data,,No data,V ugm-3,50,V ugm-3,14,V ugm-3,29,V ugm-3,51,V ugm-3,No data,,1,V ugm-3,0.2,V mgm-3,21,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,64,V ugm-3,1,V ugm-3,13,V ugm-3,15,V ugm-3,0.14,V mgm-3,57,V ugm-3,9,V ugm-3,17,V ugm-3,30,V ugm-3,No data,,1,V ugm-3,0.22,V mgm-3,19,V ugm-3 (INDIC.GRAV),40,V ugm-3,21,V ugm-3,34,V ugm-3,65,V ugm-3,No data,,2,V ugm-3,0.17,V mgm-3,21,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
2007-03-17,70,V ugm-3,80,V ugm-3,1,V ugm-3,7,V ugm-3,9,V ugm-3,No data,,3,V ugm-3,75,V ugm-3,2,V ugm-3,11,V ugm-3,14,V ugm-3,No data,,0,V ,0.1,V mgm-3,18,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,82,V ,0,V ,6,V ,6,V ,0.23,V ,78,V ugm-3,3,V ugm-3,6,V ugm-3,10,V ugm-3,No data,,0,V ugm-3,0.16,V mgm-3,17,V ugm-3 (INDIC.GRAV),68,V ugm-3,3,V ugm-3,16,V ugm-3,20,V ugm-3,No data,,1,V ugm-3,0.2,V mgm-3,15,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
2007-03-18,76,V ugm-3,84,V ugm-3,1,V ugm-3,5,V ugm-3,7,V ugm-3,No data,,5,V ugm-3,80,V ugm-3,1,V ugm-3,8,V ugm-3,9,V ugm-3,No data,,1,V ugm-3,0.11,V mgm-3,12,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,77,V ,0,V ,5,V ,5,V ,0.16,V ,79,V ugm-3,2,V ugm-3,7,V ugm-3,10,V ugm-3,No data,,0,V ,0.17,V mgm-3,10,V ugm-3 (INDIC.GRAV),74,V ugm-3,5,V ugm-3,9,V ugm-3,16,V ugm-3,No data,,0,V ugm-3,0.2,V mgm-3,9,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
2007-03-19,59,V ugm-3,72,V ugm-3,1,V ugm-3,6,V ugm-3,8,V ugm-3,No data,,5,V ugm-3,51,V ugm-3,8,V ugm-3,27,V ugm-3,38,V ugm-3,No data,,1,V ugm-3,0.15,V mgm-3,17,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,70,V ,1,V ,9,V ,10,V ,0.18,V ,61,V ugm-3,6,V ugm-3,13,V ugm-3,23,V ugm-3,No data,,1,V ugm-3,0.2,V mgm-3,12,V ugm-3 (INDIC.GRAV),43,V ugm-3,17,V ugm-3,43,V ugm-3,69,V ugm-3,No data,,1,V ugm-3,0.14,V mgm-3,19,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
2007-03-20,60,V ugm-3,76,V ugm-3,1,V ugm-3,6,V ugm-3,8,V ugm-3,No data,,4,V ugm-3,59,V ugm-3,6,V ugm-3,24,V ugm-3,32,V ugm-3,No data,,3,V ugm-3,0.13,V mgm-3,22,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data,,71,V ,0,V ,10,V ,10,V ,0.17,V ,66,V ugm-3,4,V ugm-3,11,V ugm-3,18,V ugm-3,No data,,3,V ugm-3,0.19,V mgm-3,16,V ugm-3 (INDIC.GRAV),57,V ugm-3,6,V ugm-3,23,V ugm-3,32,V ugm-3,No data,,5,V ugm-3,0.13,V mgm-3,20,V ugm-3 (INDIC.GRAV),No data,,No data,,No data,,No data,,No data
